clearance_mm,pixel_noise_std,trial_idx,success,reason,true_offset_mm,vision_error_mm,spiral_iters,insert_iters,insertion_depth_mm,tilt_deg,xy_error_mm,max_contact_force
1.0,12.0,11,False,spiral_exhausted,11.63926179158901,25.46077591234757,220,,0.06581156388069803,2.947984026519481,,
1.0,12.0,12,False,spiral_exhausted,14.726571096670243,32.36504950849588,220,,0.07276466308098889,0.888339029893326,,
1.0,12.0,13,False,spiral_exhausted,16.738884627054937,34.53820356361493,220,,0.10831860550942346,0.7019090841356966,,
1.0,12.0,14,False,spiral_exhausted,16.988399481625407,22.458501159238438,220,,0.1828470354632919,2.2481270249592336,,
1.0,16.0,0,False,spiral_exhausted,4.02341414486123,41.341339512039795,220,,0.23787163285390878,3.695915022961471,,
1.0,16.0,1,False,spiral_exhausted,7.547905713501119,38.42648302052642,220,,0.04719869292413997,2.566412242630186,,
1.0,16.0,2,False,spiral_exhausted,6.437221062869709,20.030725909095626,220,,0.12570761185011492,0.9896265484848077,,
1.0,16.0,3,False,spiral_exhausted,14.992872834829603,35.00396987664599,220,,0.0,0.6929291068350902,,
1.0,16.0,4,False,timeout,9.38523420518765,67.50399271846331,85,220,30.234419690250093,2.181905296545994,,0.0
1.0,16.0,5,True,inserted,14.664678168611909,33.25351561948432,110,20,27.94267159679311,0.2555197958297589,0.38193674496842445,402.0150630696974
1.0,16.0,6,False,spiral_exhausted,16.835097075460904,25.618278190423908,220,,0.30471871557826574,0.7088977159904912,,
1.0,16.0,7,False,spiral_exhausted,9.422807466495577,34.64938721622627,220,,0.09643462393540969,1.083905700883732,,
1.0,16.0,8,True,inserted,5.583582866117652,7.515186150562785,1,12,28.20193386148869,1.035016149084952,2.030552785222369,377.5963494464673
1.0,16.0,9,True,inserted,16.4646960759875,4.620219886227315,1,21,28.381280117220506,3.239530917823919,2.2112759929099988,490.9265458472509
1.0,16.0,10,True,inserted,6.321540197333257,19.96559517530894,1,16,28.17767427213056,0.34809854341309043,0.8403344072366259,380.5873757491257
1.0,16.0,11,False,timeout,8.446869100517794,104.37595959449216,1,220,30.23555785311156,1.7392185511687461,,0.0
1.0,16.0,12,False,spiral_exhausted,11.561271375921452,52.6516917122477,220,,0.0878381953140564,0.059455638401100484,,
1.0,16.0,13,False,timeout,10.693170585903282,72.31475707519003,40,220,30.372324288703588,2.148472901843694,,0.0
1.0,16.0,14,False,timeout,10.439848354024749,41.56546125378617,211,220,30.28445836139293,1.9160321455417009,,0.0
1.0,20.0,0,False,timeout,9.217548958806175,71.31267596194861,156,220,30.26755497952057,1.9029286265896275,,0.0
1.0,20.0,1,False,spiral_exhausted,2.770675157896364,61.16453340273861,220,,0.0432729584549027,0.9913935026616748,,
1.0,20.0,2,False,spiral_exhausted,15.248681939831123,27.193616785611365,220,,0.2430665110252292,3.6702920828859247,,
1.0,20.0,3,False,timeout,12.85242145740232,75.37047456986411,86,220,30.287712525389214,1.9750022513625716,,0.0
1.0,20.0,4,False,spiral_exhausted,11.409305404756775,40.76780514810916,220,,0.252762556832313,2.7093184890349136,,
1.0,20.0,5,False,timeout,17.75712350426515,73.1311367940955,173,220,30.275467411329455,1.9009117599503147,,0.0
1.0,20.0,6,False,spiral_exhausted,20.230823656080172,46.443299914436516,220,,0.395982471602295,0.19680267587169256,,
1.0,20.0,7,False,spiral_exhausted,7.604196294585249,73.25237345780933,220,,0.2870892739355868,0.6544767179243891,,
1.0,20.0,8,False,spiral_exhausted,10.93702209234713,52.974115608567416,220,,0.1565720015452507,1.0527495885507916,,
1.0,20.0,9,False,spiral_exhausted,8.647970235257015,81.01431465896613,220,,0.0686923101128889,0.7653827604289356,,
